Grupo,Equipo1,Equipo2,Equipo3,Equipo4
A,México,Corea del Sur,República Checa,Sudáfrica
B,Canadá,Suiza,Bosnia y Herzegovina,Catar
C,Brasil,Marruecos,Escocia,Haití
D,Estados Unidos,Australia,Turquía,Paraguay
E,Alemania,Costa de Marfil,Ecuador,Curazao
F,Suecia,Japón,Países Bajos,Túnez
G,Bélgica,Egipto,Irán,Nueva Zelanda
H,España,Uruguay,Arabia Saudita,Cabo Verde
I,Francia,Noruega,Senegal,Irak
J,Argentina,Austria,Jordania,Argelia
K,Portugal,Colombia,República Democrática del Congo,Uzbekistán
L,Inglaterra,Ghana,Croacia,Panamá